2 -4.82843
3 -5.19266
4 -5.22625
5 -5.22625
6 -5.22625
7 -5.22625
8 -5.22625
9 -5.22625
10 -5.22625
11 -5.22625
12 -5.22625
13 -5.22625
14 -5.22625
15 -5.22625
16 -5.22625
17 -5.22625
18 -5.22625
19 -5.22625
20 -5.22625
21 -5.22625
22 -5.22625
23 -5.22625
24 -5.22625
25 -5.22625
26 -5.22625
27 -5.22625
28 -5.22625
29 -5.22625
30 -5.22625
31 -5.22625
32 -5.22625
33 -5.22625
34 -5.22625
35 -5.22625
36 -5.22625
37 -5.22625
38 -5.22625
39 -5.22625
40 -5.22625
41 -5.22625
42 -5.22625
43 -5.22625
44 -5.22625
45 -5.22625
46 -5.22625
47 -5.22625
48 -5.22625
49 -5.22625
50 -5.22625
