8.33333   -0.000471644
5.83333   -0.00132826
4.5   -0.00286876
3.66667   -0.00531278
3.09524   -0.00890105
2.67857   -0.013904
2.36111   -0.020634
2.11111   -0.0294648
1.90909   -0.0408677
1.74242   -0.055486
1.60256   -0.0743047
1.48352   -0.0990252
1.38095   -0.132827
1.29167   -0.181609
1.21324   -0.254832
1.14379   -0.361058
1.08187   -0.486698
1.02632   -0.567125
0.97619   -0.531122
0.930736   -0.40184
0.889328   -0.258228
0.851449   -0.142044
0.816667   -0.056406
0.784615   0.00681296
0.754986   0.0551034
0.727513   0.0934456
0.701971   0.124915
0.678161   0.151418
0.655914   0.174178
0.635081   0.194015
0.61553   0.211505
0.597148   0.227066
0.579832   0.241019
0.563492   0.253609
0.548048   0.265029
0.533428   0.27544
0.519568   0.284973
0.50641   0.293732
0.493903   0.301811
0.481998   0.309285
0.470654   0.31622
0.459831   0.322672
0.449495   0.328691
0.439614   0.334317
0.430157   0.339589
0.421099   0.344538
0.412415   0.349192
0.404082   0.35358
0.396079   0.35772
0.388386   0.361634
0.380987   0.365341
0.373865   0.368858
0.367004   0.372192
0.36039   0.375366
0.35401   0.378385
0.347853   0.381263
0.341906   0.384009
0.336158   0.386632
