10   0.00125236
6.66667   0.0028245
5   0.00503827
4   0.00790703
3.33333   0.0114489
2.85714   0.0156875
2.5   0.0206535
2.22222   0.0263863
2   0.0329385
1.81818   0.0403833
1.66667   0.0488302
1.53846   0.0584549
1.42857   0.0695512
1.33333   0.0826104
1.25   0.0984041
1.17647   0.117955
1.11111   0.142067
1.05263   0.170041
1   0.198414
0.952381   0.222384
0.909091   0.239319
0.869565   0.249637
0.833333   0.255046
0.8   0.257153
0.769231   0.257097
0.740741   0.255623
0.714286   0.253207
0.689655   0.250162
0.666667   0.246699
0.645161   0.242963
0.625   0.239057
0.606061   0.235054
0.588235   0.231008
0.571429   0.226958
0.555556   0.222933
0.540541   0.218954
0.526316   0.215036
0.512821   0.21119
0.5   0.207424
0.487805   0.203744
0.476191   0.200152
0.465116   0.19665
0.454546   0.193239
0.444445   0.189919
0.434783   0.186689
0.425532   0.183547
0.416667   0.180493
0.408163   0.177523
0.4   0.174637
0.392157   0.171831
0.384616   0.169104
0.377359   0.166453
0.370371   0.163875
0.363637   0.161369
0.357143   0.158931
0.350877   0.156561
0.344828   0.154254
0.338983   0.15201
0.333334   0.149825
